Date,P_Rate_Kg/Ha,Replication,Soil_P_Level_ppm,Label_ID,R_Group_ID,R_CSV_Label,Runoff_Vol,Leachate_Vol,NO3_R,NO3_L,NH4_R,NH4_L,TKN_R,TKN_L,DRP_R,DRP_L,TP_R,TP_L,TSS_R,TSS_L
4/8/2025,0,1,L (5),1,1,1,,1528.551011,,,,0.021245368,,0.198875955,,0.002897096,,0.016416875,,9.174738866
4/8/2025,0,2,L (5),2,1,1,,1698.390012,,3.533383623,,0.028970956,,0.509609844,,0.003755494,,0.018777471,,10.40876807
4/8/2025,0,3,L (5),3,1,1,254.7585018,1486.09126,0.002092347,4.049361713,0.001850922,0.023471839,,0.020279669,0.001529023,0.003755494,0.011105533,0.015491414,,17.46419591
4/8/2025,25,1,L (5),4,2,2,,1486.09126,,0.721524339,,0.089192989,,1.39321327,,0.138953289,,0.306072784,,43.09712862
4/8/2025,25,2,L (5),5,2,2,424.5975029,849.1950059,0.003621369,1.035175175,0.024410713,0.047211928,,0.99248057,0.051503922,0.061160907,0.106495088,0.112664829,11.99154466,13.62797469
4/8/2025,25,3,L (5),6,2,2,,934.1145065,,1.175281936,,0.050752823,,1.093026955,,0.075539085,,0.120095342,,12.74805821
4/8/2025,50,1,L (5),7,3,3,67.93560047,1528.551011,0.000836939,0.036213695,0.008369387,0.211005129,,2.416896975,0.021266828,0.465949541,,0.717996857,,54.5655522
4/8/2025,50,2,L (5),8,3,3,934.1145065,806.7352556,0.007376864,0.128437905,0.125701759,0.123595999,28.3864,1.211034886,0.292123805,0.281340172,0.455890181,0.467626101,33.40463402,26.19897654
4/8/2025,50,3,L (5),9,3,3,815.2272057,305.7102021,0.007210549,0.148234724,0.104037922,0.027908688,46.492448,,0.226617255,0.074938206,0.387051971,0.124478541,42.59654199,
4/8/2025,75,1,L (5),10,4,4,33.96780024,1528.551011,0.002875636,0.056976213,0.004173964,0.411870423,,,0.010343704,0.886028402,,1.470758862,,78.80617805
4/8/2025,75,2,L (5),11,4,4,271.7424019,1528.551011,0.003605275,0.200865294,0.056911833,0.230319099,,,0.129618203,0.566865037,0.197603379,0.862851637,,
4/8/2025,75,3,L (5),12,4,4,237.7746016,543.4848038,0.003455055,0.093565458,0.049121865,0.154168405,,,0.115068345,0.435208138,0.170331945,0.553274011,,15.21182435
4/8/2025,100,1,L (5),13,5,5,2207.907015,645.3882045,0.023713264,0.010397354,0.571210681,0.150659701,103.700224,,1.293070332,0.356364218,2.113144743,0.73842621,129.4550289,36.41351914
4/8/2025,100,2,L (5),14,5,5,2632.504518,254.7585018,0.02661036,0.003943269,0.660269545,0.064218952,104.99936,,1.493506427,0.15459224,2.681941714,0.273633898,196.2642969,
4/8/2025,100,3,L (5),15,5,5,2632.504518,509.5170035,0.029936654,0.009013186,1.035309299,0.152580368,,2.04834547,2.025713617,0.361010301,,0.621014973,,31.9023376
4/8/2025,0,1,M (32) ,16,6,6,16.98390012,1443.63151,0.00013949,3.158424343,0.001314423,0.021889167,,,0.00300976,0.011400608,,0.13771934,,43.96363174
4/8/2025,0,2,M (32) ,17,6,6,16.98390012,1783.309512,0.000166315,4.789945186,0.000316535,0.030419504,,,0.000520404,0.00957651,,0.133507822,,41.68872572
4/8/2025,0,3,M (32) ,18,6,6,373.6458026,1868.229013,0.002124537,3.589286838,0.002006507,0.022425666,24.5308,,0.002360596,0.008262087,0.066450789,0.03953999,15.81703519,47.09699284
4/8/2025,25,1,M (32) ,19,7,7,169.8390012,1103.953508,0.001448548,0.537733132,0.008583987,0.06869872,35.6816,1.244304702,0.015612126,0.148905348,0.041149487,0.220742589,,45.40690937
4/8/2025,25,2,M (32) ,20,7,7,1273.792509,509.5170035,0.009656985,0.48639016,0.075646385,0.033477549,25.262,0.67870091,0.164973499,0.089488064,0.261945726,0.135841593,50.94394476,18.34947773
4/8/2025,25,3,M (32) ,21,7,7,730.3077051,1171.889108,0.010611954,0.302440685,0.041525037,0.076628178,25.068,1.199456804,0.080512432,0.149924697,0.168176399,0.280969987,35.52931039,49.68201576
4/8/2025,50,1,M (32) ,22,8,8,2207.907015,1103.953508,0.112986728,0.174710959,0.232250497,0.196680601,37.6052,2.424003315,0.527968847,0.45020329,0.779050464,0.611313995,116.2026283,51.40536437
4/8/2025,50,2,M (32) ,23,8,8,2632.504518,390.6297027,0.024115638,0.256044235,0.352587263,0.062190985,47.955248,1.006311347,0.803300228,0.141780639,,0.206316126,127.4054673,12.16752795
4/8/2025,50,3,M (32) ,24,8,8,3057.102021,271.7424019,0.027039559,0.267047834,0.509888824,0.022575886,48.22576,0.637055577,1.114416104,0.049014565,1.694800921,0.106269758,151.238327,
4/8/2025,75,1,M (32) ,25,9,9,3226.941022,186.8229013,0.029561105,0.03582205,0.816498107,0.055119926,64.213952,,1.729834318,0.114961045,2.687094252,0.191577742,248.9412479,
4/8/2025,75,2,M (32) ,26,9,9,3566.619025,509.5170035,0.031546152,0.30242459,0.78189391,0.064058003,,,1.605473807,0.199899596,3.104400485,0.327864308,304.2150256,23.17828766
4/8/2025,75,3,M (32) ,27,9,9,3906.297027,16.98390012,0.033316599,0.001056903,0.824277346,0.002489356,,,1.875601146,0.005643971,3.607977933,,309.9881361,
4/8/2025,100,1,M (32) ,28,10,10,3821.377527,16.98390012,0.041042188,0.008347927,1.003119348,0.003669654,91.945248,,2.275427162,0.004275898,3.839122436,,284.4169048,
4/8/2025,100,2,M (32) ,29,10,10,1528.551011,135.8712009,0.01303693,0.005665431,0.30854068,0.038627941,69.957456,0.12979675,0.705442776,0.082749634,1.153946973,0.143336701,122.4586198,10.4216449
4/8/2025,100,3,M (32) ,30,10,10,1613.470511,135.8712009,0.016819249,0.005450832,0.379707297,0.028026717,20.5212,,0.838923773,0.063950703,1.409707937,,77.98528036,
4/8/2025,0,1,H (505),31,11,11,1528.551011,373.6458026,0.010139835,0.822667848,0.013519779,0.011212833,8.7636,0.118591642,0.014002629,0.003186805,0.103392513,0.007762821,69.53486298,4.839540618
4/8/2025,0,2,H (505),32,11,11,16.98390012,2547.585018,0.007559273,0.984207752,0.000359454,0.025751961,,0.803815267,0.000155585,0.00643799,,,,115.247597
4/8/2025,0,3,H (505),33,11,11,1868.229013,917.1306064,0.033638499,0.051568302,0.008262087,0.026653279,8.0712,0.554075326,0.007081789,0.003766224,0.114034511,0.066676655,99.85978934,23.52596198
4/8/2025,25,1,H (505),34,12,12,2717.424019,645.3882045,0.020601569,0.178997588,0.178546928,0.05912221,,0.951384166,0.327049902,0.105604499,0.707689635,0.229834533,94.60175186,25.03684295
4/8/2025,25,2,H (505),35,12,12,951.0984066,339.6780024,0.010214944,0.242497631,0.060388348,0.035194346,15.996,0.343144878,0.152623288,0.066847798,0.229472718,0.109085306,50.23679237,7.039331808
4/8/2025,25,3,H (505),36,12,12,2038.068014,543.4848038,0.013519779,0.095282255,0.134553995,0.048413686,26.5236,0.357155661,0.24979402,0.084638111,0.476417713,0.154079132,86.53227394,17.85586605
4/8/2025,50,1,H (505),37,13,13,1188.873008,3057.102021,0.011642032,0.034765147,0.165241749,0.495403346,50.478048,5.065300473,0.321094761,1.039091619,0.646418209,1.606574703,78.5701029,218.4553612
4/8/2025,50,2,H (505),38,13,13,3396.780024,373.6458026,0.031116953,0.00660967,0.488214257,0.069165475,57.086512,0.745434988,1.004326472,0.148009395,1.903531293,0.272613476,266.7649219,23.04093485
4/8/2025,50,3,H (505),39,13,13,4161.055529,135.8712009,0.047319228,0.002145997,0.853060527,0.018412652,75.422816,,1.699548939,0.03935758,3.127340922,,381.2077172,
4/8/2025,75,1,H (505),40,14,14,2377.746016,1528.551011,0.024786262,0.029453805,0.61139447,0.557690901,,,1.245321905,1.074339615,2.194598195,1.548531393,165.853525,172.7748193
4/8/2025,75,2,H (505),41,14,14,2632.504518,594.4365041,0.02661036,0.055017991,0.517238863,0.192281307,23.032,,1.080214281,0.405030059,1.911264124,0.594312604,176.4715415,54.4206879
4/8/2025,75,3,H (505),42,14,14,3991.216528,135.8712009,0.040344739,0.007553909,0.791765495,0.025194002,54.36528,,1.623875729,0.05236232,3.157921376,,312.4400985,
4/8/2025,100,1,H (505),43,15,15,2887.26302,815.2272057,0.036481944,0.016996294,0.772505174,0.249021461,78.65624,,1.555042884,0.567830736,2.793021188,0.825857658,183.5162387,61.65424518
4/8/2025,100,2,H (505),44,15,15,2038.068014,1137.921308,0.020601569,0.046369624,0.477055074,0.275342111,,3.326654916,0.964410932,0.663912375,1.840370317,1.065185759,152.719162,95.83685413
4/8/2025,100,3,H (505),45,15,15,3821.377527,382.1377527,0.592697473,0.003621369,1.052611398,0.074600211,,0.439132093,2.035209653,0.161150942,3.364650606,0.277149443,204.25866,25.18224378
4/15/2025,0,1,L (5),1,1,16,1698.390012,2972.182521,0.016631475,4.017440011,0.001072998,0.001877747,,,0.008047488,0.008449862,0.024695057,0.021321819,48.07348552,19.71764055
4/15/2025,0,2,L (5),2,1,16,1188.873008,3269.400773,0.039808239,2.604623061,0.001502198,0.001032761,7.304,,0.005633241,0.01136037,0.028000965,0.037169066,52.05457104,54.94649165
4/15/2025,0,3,L (5),3,1,16,2462.665517,1613.470511,0.042007886,2.903614056,-0.000777924,0.000509674,5.0052,0.057756283,0.013224705,0.004587068,0.055994956,0.009551295,77.64189832,7.23784955
4/15/2025,25,1,L (5),4,2,17,169.8390012,4161.055529,0.002843446,2.818122911,0.00026825,0.014458653,,1.192181661,0.004238344,0.060463458,0.016243586,0.200791257,,99.63981022
4/15/2025,25,2,L (5),5,2,17,2038.068014,2547.585018,0.030258554,3.129667987,0.000643799,0.024142463,6.23,,0.042490735,0.025751961,0.154653401,0.069626864,101.8556974,41.52776539
4/15/2025,25,3,L (5),6,2,17,900.1467062,1613.470511,0.009383371,2.218611899,0.000568689,0.00968381,5.288,0.589040695,0.015354607,0.015290227,0.047422987,0.038373372,23.77276782,13.25240058
4/15/2025,50,1,L (5),7,3,18,560.4687039,3396.780024,0.014163578,0.88736965,0.007081789,0.043992933,11.9664,0.980248388,0.035763036,0.136270793,0.07187839,0.327650781,15.7580164,100.2246328
4/15/2025,50,2,L (5),8,3,18,169.8390012,4076.136028,0.002843446,2.298362502,0.002521546,0.105583039,,1.745364896,0.01287598,0.11845902,0.027911907,0.397494391,,118.7243401
4/15/2025,50,3,L (5),9,3,18,781.2594054,2632.504518,0.010858743,3.733766068,0.006910109,0.143030682,9.0012,1.848954304,0.036278075,0.045736555,0.077837448,0.140885222,39.58765687,36.92429993
4/15/2025,75,1,L (5),10,4,19,2207.907015,1783.309512,0.088576015,0.710351744,0.095550505,0.079992028,12.8312,0.992982733,0.266425495,0.169560567,0.418866909,0.278180728,71.70246211,28.28073015
4/15/2025,75,2,L (5),11,4,19,203.8068014,1698.390012,0.002897096,3.251721552,0.00675989,0.076719383,,1.707118942,0.016931914,0.09174136,0.031389709,0.16413656,,16.31064687
4/15/2025,75,3,L (5),12,4,19,849.1950059,1528.551011,0.050162674,0.897133935,0.026824959,0.050699173,15.9348,0.669963012,0.064111652,0.108158235,0.127576823,0.159509255,33.90897639,19.60496831
4/15/2025,100,1,L (5),13,5,20,,,,,,,,,,,,,,
4/15/2025,100,2,L (5),14,5,20,3226.941022,934.1145065,0.129457253,0.194749204,0.181444024,0.040720288,12.7436,0.680111431,0.441377878,0.127472206,0.615350078,0.184197338,129.6696426,15.04979095
4/15/2025,100,3,L (5),15,5,20,2207.907015,2377.746016,0.091365811,0.302692839,0.128330605,0.226080756,7.6624,0.361669122,0.274097433,0.419113162,0.424272138,0.711200486,51.19611594,59.79139761
4/15/2025,0,1,M (32) ,16,6,21,3057.102021,1443.63151,0.03959364,2.293346235,0.007725588,0.000456024,7.344,-0.017219478,0.015451176,0.005928316,0.119398966,0.020584937,157.6123561,15.68826693
4/15/2025,0,2,M (32) ,17,6,21,2207.907015,1188.873008,0.04603163,,0.002092347,0.00638434,7.0848,0.150144662,0.011159183,0.005257692,0.073022904,0.017369161,45.47665885,10.6663046
4/15/2025,0,3,M (32) ,18,6,21,3396.780024,1019.034007,0.053649918,1.33362967,0.009656985,0.003862794,13.6508,0.196847988,0.018240972,0.004506593,0.106741878,0.009663423,91.21085422,8.241168946
4/15/2025,25,1,M (32) ,19,7,22,424.5975029,4245.975029,0.019179846,6.1442569,0.001609498,0.014753728,11.3304,,0.009120486,0.095228605,0.034255473,0.24806381,15.37171161,113.7453006
4/15/2025,25,2,M (32) ,20,7,22,3057.102021,1783.309512,0.044422132,0.28560534,0.016416875,0.019716345,11.9428,0.761749439,0.095604155,0.047882552,0.264620711,0.116861593,35.15373629,37.74519761
4/15/2025,25,3,M (32) ,21,7,22,3142.021522,1019.034007,0.059551409,0.916769805,0.011910282,0.005794191,11.4632,0.578775319,0.063521503,0.025751961,0.18421236,0.047724821,149.2853416,18.2850936
4/15/2025,50,1,M (32) ,22,8,23,2632.504518,1358.712009,0.04906285,0.279408775,0.019126196,0.017597173,12.4216,0.726909182,0.078999505,0.088415065,0.1644936,0.130502353,24.44987428,21.11799542
4/15/2025,50,2,M (32) ,23,8,23,3481.699524,764.2755053,0.070388693,0.220662114,0.054991166,0.008208438,11.8992,0.349631153,0.197968199,0.035489421,0.412125797,0.057587018,143.4263856,11.20283904
4/15/2025,50,3,M (32) ,24,8,23,2887.26302,1273.792509,0.066579549,0.346444348,0.046514479,0.020521094,21.1732,1.531807104,0.155048264,0.063977528,0.297492016,0.077738732,26.45114772,6.196972743
4/15/2025,75,1,M (32) ,25,9,24,2717.424019,934.1145065,0.064379902,0.212453677,0.145927778,0.067867147,9.8628,1.003572154,0.337350687,0.218650242,0.612433132,0.271430227,130.485175,10.09221275
4/15/2025,75,2,M (32) ,26,9,24,2802.343519,747.2916052,0.040720288,0.826680862,0.062850879,0.028091097,8.43,0.718650528,0.152258468,0.15745178,0.2828024,0.186392692,103.2238603,7.554404867
4/15/2025,75,3,M (32) ,27,9,24,3311.860523,424.5975029,0.04917015,0.350333967,0.065908925,0.008047488,15.242,0.404456004,0.160064531,0.066525899,0.371360175,0.085041827,82.2346331,3.997181553
4/15/2025,100,1,M (32) ,28,10,25,3226.941022,679.3560047,0.064218952,0.373403432,0.116205723,0.022103766,,0.660606467,0.260953203,0.042490735,0.574474205,0.081032837,150.8734836,12.6622127
4/15/2025,100,2,M (32) ,29,10,25,3651.538525,305.7102021,0.08535702,0.399606052,0.456775405,0.013712919,,0.377337044,1.060041912,0.070495993,,0.094477184,284.0037733,
4/15/2025,100,3,M (32) ,30,10,25,3821.377527,509.5170035,0.079670129,0.139704387,0.389900782,0.029614755,8.8604,0.014343842,0.870335801,0.08546432,1.757873106,0.12249403,184.7019798,10.04392465
4/15/2025,0,1,H (505),31,11,26,4076.136028,467.0572532,0.077255882,0.664802963,0.009013186,0.005901491,8.0572,0.1460501,0.019313971,0.002950746,0.158876722,0.005998866,149.6287237,1.416450913
