Date,P_Rate_Kg/Ha,Replication,Soil_P_Level_ppm,Label_ID,R_Group_ID,R_CSV_Label,Runoff_Vol,Leachate_Vol,NO3_R,NO3_L,NH4_R,NH4_L,TKN_R,TKN_L,DRP_R,DRP_L,TP_R,TP_L,TSS_R,TSS_L
4/8/2025,0,1,L (5),1,1,1,,900,,,,0.44,,4.1188,,0.06,,0.34,,0.0095
4/8/2025,0,2,L (5),2,1,1,,1000,,65.86,,0.54,,9.4988,,0.07,,0.35,,0.0097
4/8/2025,0,3,L (5),3,1,1,150,875,0.26,86.26,0.23,0.5,,0.432,0.19,0.08,1.38,0.33,,0.0186
4/8/2025,25,1,L (5),4,2,2,,875,,15.37,,1.9,,29.6784,,2.96,,6.52,,0.0459
4/8/2025,25,2,L (5),5,2,2,250,500,0.27,38.59,1.82,1.76,,36.9984,3.84,2.28,7.94,4.2,0.0447,0.0254
4/8/2025,25,3,L (5),6,2,2,,550,,39.83,,1.72,,37.0424,,2.56,,4.07,,0.0216
4/8/2025,50,1,L (5),7,3,3,40,900,0.39,0.75,3.9,4.37,,50.054896,9.91,9.65,,14.87,,0.0565
4/8/2025,50,2,L (5),8,3,3,550,475,0.25,5.04,4.26,4.85,28.3864,47.52192,9.9,11.04,15.45,18.35,0.0566,0.0514
4/8/2025,50,3,L (5),9,3,3,480,180,0.28,15.35,4.04,2.89,46.492448,,8.8,7.76,15.03,12.89,0.0827,
4/8/2025,75,1,L (5),10,4,4,20,900,2.68,1.18,3.89,8.53,,,9.64,18.35,,30.46,,0.0816
4/8/2025,75,2,L (5),11,4,4,160,900,0.42,4.16,6.63,4.77,,,15.1,11.74,23.02,17.87,,
4/8/2025,75,3,L (5),12,4,4,140,320,0.46,5.45,6.54,8.98,,,15.32,25.35,22.6777,32.2271,,0.0443
4/8/2025,100,1,L (5),13,5,5,1300,380,0.34,0.51,8.19,7.39,103.700224,,18.54,17.48,30.2982,36.2205,0.0928,0.0893
4/8/2025,100,2,L (5),14,5,5,1550,150,0.32,0.49,7.94,7.98,104.99936,,17.96,19.21,32.2514,34.0024,0.118,
4/8/2025,100,3,L (5),15,5,5,1550,300,0.36,0.56,12.45,9.48,,127.266144,24.36,22.43,,38.5844,,0.0991
4/8/2025,0,1,M (32) ,16,6,6,10,850,0.26,69.26,2.45,0.48,,,5.61,0.25,,3.02,,0.0482
4/8/2025,0,2,M (32) ,17,6,6,10,1050,0.31,85.03,0.59,0.54,,,0.97,0.17,,2.37,,0.037
4/8/2025,0,3,M (32) ,18,6,6,220,1100,0.18,60.82,0.17,0.38,24.5308,,0.2,0.14,5.63,0.67,0.067,0.0399
4/8/2025,25,1,M (32) ,19,7,7,100,650,0.27,15.42,1.6,1.97,35.6816,35.6816,2.91,4.27,7.67,6.33,0,0.0651
4/8/2025,25,2,M (32) ,20,7,7,750,300,0.24,30.22,1.88,2.08,25.262,42.168496,4.1,5.56,6.51,8.44,0.0633,0.057
4/8/2025,25,3,M (32) ,21,7,7,430,690,0.46,8.17,1.8,2.07,25.068,32.4016,3.49,4.05,7.29,7.59,0.077,0.0671
4/8/2025,50,1,M (32) ,22,8,8,1300,650,1.62,5.01,3.33,5.64,37.6052,69.51056,7.57,12.91,11.17,17.53,0.0833,0.0737
4/8/2025,50,2,M (32) ,23,8,8,1550,230,0.29,20.75,4.24,5.04,47.955248,81.55216,9.66,11.49,,16.72,0.0766,0.0493
4/8/2025,50,3,M (32) ,24,8,8,1800,160,0.28,31.11,5.28,2.63,48.22576,74.214416,11.54,5.71,17.55,12.38,0.0783,
4/8/2025,75,1,M (32) ,25,9,9,1900,110,0.29,6.07,8.01,9.34,64.213952,,16.97,19.48,26.3609,32.4626,0.1221,
4/8/2025,75,2,M (32) ,26,9,9,2100,300,0.28,18.79,6.94,3.98,,,14.25,12.42,27.5543,20.3706,0.135,0.072
4/8/2025,75,3,M (32) ,27,9,9,2300,10,0.27,1.97,6.68,4.64,,,15.2,10.52,29.2393,,0.1256,
4/8/2025,100,1,M (32) ,28,10,10,2250,10,0.34,15.56,8.31,6.84,91.945248,,18.85,7.97,31.8039,,0.1178,
4/8/2025,100,2,M (32) ,29,10,10,900,80,0.27,1.32,6.39,9,69.957456,30.2416,14.61,19.28,23.8987,33.3963,0.1268,0.1214
4/8/2025,100,3,M (32) ,30,10,10,950,80,0.33,1.27,7.45,6.53,20.5212,,16.46,14.9,27.659,,0.0765,
4/8/2025,0,1,H (505),31,11,11,900,220,0.21,69.7,0.28,0.95,8.7636,10.0476,0.29,0.27,2.1413,0.6577,0.072,0.0205
4/8/2025,0,2,H (505),32,11,11,10,1500,14.09,12.23,0.67,0.32,,9.9884,0.29,0.08,,,0,0.0716
4/8/2025,0,3,H (505),33,11,11,1100,540,0.57,1.78,0.14,0.92,8.0712,19.1252,0.12,0.13,1.9323,2.3015,0.0846,0.0406
4/8/2025,25,1,H (505),34,12,12,1600,380,0.24,8.78,2.08,2.9,,46.666288,3.81,5.18,8.2443,11.2736,0.0551,0.0614
4/8/2025,25,2,H (505),35,12,12,560,200,0.34,22.6,2.01,3.28,15.996,31.98,5.08,6.23,7.6379,10.1664,0.0836,0.0328
4/8/2025,25,3,H (505),36,12,12,1200,320,0.21,5.55,2.09,2.82,26.5236,20.8036,3.88,4.93,7.4001,8.9748,0.0672,0.052
4/8/2025,50,1,H (505),37,13,13,700,1800,0.31,0.36,4.4,5.13,50.478048,52.452192,8.55,10.76,17.2126,16.6364,0.1046,0.1131
4/8/2025,50,2,H (505),38,13,13,2000,220,0.29,0.56,4.55,5.86,57.086512,63.156496,9.36,12.54,17.7403,23.097,0.1243,0.0976
